appname,updated,file_size,download,version,compatibility,price,rating_value,star_total,editors_choice,offered_by,description,Language Learning,Computer Engineering,General Learning,Exam Preparation,Maths,Art,other engineering,Educational Gaming,misc
Compiler Design,8/9/2017,19M,1000-5000,1.2,4.0.3,install,4.8,6,no,educationMobi,Compiler used for translating source code to object code. Compiler goes through many steps internally. This material is intended to understand the internal functionality of Compiler.,0,1,0,0,0,0,0,0,0
Interview Mechanical Engineering,2/9/2018,7.3M,"10,000 - 50,000 ",1.5,4.0.3,install,4.7,40,no,Sd_codes,"This Mechanical Engineering App is the One Stop Solution for All Mechanical Engineering Needs,It Contains Various Important Mechanical Engineering Concepts.
This App Consists of total [50+ 31 sets ] along with H.R Question Answers which will be helpful for every mechanical engineering students as well as Mechanical Engineering Job Seekers.This Mechanical Question Answers has a Quick Guide of Very important Engineering Question and answer to brush up your knowledge and challenge your learning.The syllabus included is based on the latest pattern and topics.It is recommended for Mechanical branches regardless of how deeply the courses is concern that is suited for both basic learners as well as the most advance or deep learners.The solved sets at the middle of Row for Few answers will help you understand the topic much better.And these Questions have been frequently asked in every competitive examinations.",0,0,0,0,0,0,1,0,0
IndiaBix,17/12/2017,1.7M,"100,000 - 500,000 ",2,4.4,install,4.8,957,no,IndiaBix Technologies,"Learn and practice aptitude questions and answers with explanation for your job interview, competitive examinations and entrance tests.

Major topics covered in IndiaBIX learning app are listed below.

Quantitative Aptitude:

- Arithmetic Aptitude
- Data Interpretation

Verbal and Reasoning:

- Verbal Ability
- Logical Reasoning
- Verbal Reasoning
- Nonverbal Reasoning

Current Affairs & GK:

- Current Affairs
- General Knowledge

Interview:

- HR Interview
- Group Discussion
- Placement Papers
- Technical Interview

Engineering:

- Mechanical Engineering
- Civil Engineering
- ECE, EEE, CSE and more...

Technical:

- C Programming
- C++
- C#
- Java
- Database
- Networking

Medical Science:

- Microbiology
- Biochemistry
- Biotechnology
- Biochemical Engineering

Others:

- Online Tests
- Puzzles Quiz",0,1,1,1,1,0,1,0,0
Biomedical Engineering,8/11/2016,8.7M,1000-5000,1,4.0.3,install,4,2,no,Edu app,"
Fortunately for you, the brains at Education Flow have already thought about this and bring to you the first ever application to help you learn or revise.This application includes :

• Introduction to Biomedical Engineering
• Sensing Technology
• Medical Devices and System
• Processing and Control system
• Medical Imaging
• Mechatronics System
• Actuators
• Feedback Sensors
",0,0,0,0,0,0,1,0,0
Hindi-English Translator,9/9/2017,1.5M,500000-1000000,1.7.2,4.1,install,4.5,"6,807",no,Klays-Development,"This Free translator can quickly translate from Hindi to English and English to Hindi  words as well as complete sentences. Instant translation and the full validity of the words.
- This App will be very useful to people studying a foreign language (travelers, students and everyone who raise their level of language)
- Its interface is very simple and easy to use
- Due to the favorites list and the history you can look through the translated information offline

Software features:
- Translation of words and phrases.
- Voice input
- Favorites
- History
- Interface settings.",1,0,0,0,0,0,0,0,0
Data Structures & Coding Interview Algorithms,11/26/2017,10M,"50,000 - 100,000",1.5,4.1,install,4.6,234,no,Jaypee,"This FREE App is developed to assist the programmers in their Technical and Coding Interview preparations. This can be used by both experienced developers and students.

Below are the features of this App:

1. Collection of ~400 Coding Interview Problems & Solutions
2. Detailed explanation of various Data Structures and Algorithms
3. Algorithmic complexities for various Data Structures and Algorithms
4. Frequently Asked Questions
5. Quiz with ~500 questions

The Algorithms are from the following topics.
* Arrays
* Strings
* Two Pointers
* Linked Lists
* Trees
* Depth First Search
* Breadth First Search
* Graphs
* Tries
* Hashing
* Stack
* Heap
* Dynamic Programming
* Back Tracking
* Implementation
* Math
* Sorting
* Searching
* Greedy
* Bit Manipulations
* Divide and Conquer
* Union Find
* Topological Sort

All the algorithms and data structures are implemented in Java. Some of the solutions are my own implementations. For the remaining problems I have chosen the most preferred & popular answers from various resources on the Internet.
",0,1,0,0,0,0,0,0,0
Kids Doodle,1/10/2018,3M,"100,000 - 500,000 ",1.0.1 ,4.1,install,4.1,491,no,SeaWorld Games,"Kids Doodle is the amazing android drawing app for all kids who love drawing!!!

With the brilliant brushes, children can record the their interesting ideas . They can create magical artworks with our Kids Doodle!!!

Kids Doodle is specifically designed for kids. As long as your screen is large enough, we can create enough space for your kids to paint. It’s very easy to use. It can make your kids feel free to draw, instead of painting on the wall or floor.

★Kids Doodle has provided many kinds of awesome coloring tools and brushes: neon painting, stars drawing, hearts painting, glow painting, rainbow painting, crayons painting, butterfly drawing, cloud drawing and so on.
1、Undo, Redo, Eraser functions
2、Bright colors
3、Up to a dozen number brushes

★We have galleries to show every creation of your kids. Keep your children’s every whimsy!

★You can also share your kids’ imagination to major social software.

More importantly! Our Kids Doodle is completely free for all children! What are you waiting for? Just let your kids join in and enjoy the fun of creating and drawing!",0,0,0,0,0,1,0,0,0
Computer Engineering-Learn Book,12/16/2107,3.2M,"10,000 - 50,000 ",4.5.4 ,2.3,install,4.4,383,"
no",Oak Tech,"This is How Computer engineering Learn Book Works:
1) Download and Install computer engineering Learn Book . it is free to use
2) Computer engineering Application Contain Android, java, C, C++ , VB.net, PHP, Data Structure , OS, DBMS as main Topic.
3) All Main Topics Contains Program ,Computer engineering GTU Syllabus,computer engineering GTU Papers, Chapter, Software , Algorithm.
4) Also Registered User Can Sent Request for computer engineering Programs.
5) All user can Share This App with computer engineering Friends.
6) All user can Share Programming Code to computer engineering Developer.
7) Computer engineering App is Light weight.
8) Interview and Viva Q & A for computer engineering Students.
9) Cover All computer engineering Subject .
10) Computer engineering Professor can refer this app for computer engineering programming practical.
11) Useful for Degree and Diploma computer engineering Students.
12) Easy to Download and Share all computer engineering subject's program and chapter.
",0,1,0,1,0,0,0,0,0
SoloLearn:Learn to Code for Free,12/20/2017,4.9M,"1,000,000 - 5,000,000 ",2.0.1 ,4.0.3,install,4.8,180982,no,SoloLearn,"SoloLearn has the largest collection of FREE code learning content, from beginner to pro! Choose from thousands of programming topics to learn coding concepts, brush up your programming knowledge, or stay aligned with the latest coding trends.

You will be greeted by the friendliest community of coders, where peer support is an essential part of learning and development. Fresh learning content is created by the community daily, facilitating efficient and effective coder skill improvement.

Join millions of other coders for anytime anywhere access to countless coding topics and assignments. Write and run real code on Android’s #1 mobile code editor, get inspired through real-life code samples, and engage in interactive community conversations along the way. ",0,1,0,0,0,0,0,0,0
Engineering Mathematics,12/19/2017,6.9M,"100,000 - 500,000 ",5.3,4,install,4.1,652,no,Engineering Apps,"The app is a complete free handbook of Engineering mathematics with diagrams and graphs. It is part of engineering education which brings important topics, notes, news & blog on the subject. Download the App as quick reference guide & ebook on this Engineering mathematics subject.

It covers 80 topics of Maths in detail. These 80 topics are divided in 5 chapters.

It provides quick revision and reference to the topics like a detailed flash card. Each topic is complete with diagrams, equations and other forms of graphical representations for easy understanding.

The application serves to both engineering students and professionals. Some of topics Covered in this application are:

1. Leibnitz Theorem
2. Problems on Leibnitz Theorem
3. Differential Calculus-I
4. Radius of Curvature
5. Radius of Curvature in Parametric Form
6. Problems on Radius of Curvature
7. Radius of Curvature in Polar Form
8. Cauchy’s Mean Value Theorem
9. Taylor’s Theorem
10. Problems on Fundamental Theorem
11. Partial Derivatives
12. Euler Lagrange Equation
13. Curve Tracing
14. Change of Variable Theorem
15. Problems on Differential Calculus I
16. Indeterminate Forms
17. Problems on L' Hospital Rule
18. Various Indeterminate Forms
19. Problems on Various Indeterminate Forms
20. Taylor’s Theorem For Function of Two Variables
21. Problems on Taylor's Theorem
22. Maxima And Minima of Function of Two Variables
23. Problems Maxima And Minima of Function of Two Variables
24. Lagrange’s Method of Undetermined Multipliers
25. Problems on Lagrange’s Method of Undetermined Multipliers
26. Polar Curves
27. Problems on Polar Curve
28. Jacobian of Transformation
29. Extrema of Function of Several Variables
30. Problems on Differential Calculus II
31. Multiple Integrals
32. Problems on Multiple Integral
33. Double Integral by Changing the Order of Integration
34. Applications to Area and Volume
35. Problems on Applications to Area and Volume
36. Beta And Gamma Function
37. Relationship between Beta and Gamma Functions
38. Problems on Beta and Gamma Functions
39. Dirichlet Integral
40. Dirichlet Integral and Fourier Series
41. Problems on Dirichlet Integrals
42. Triple Integrals
43. Triple Integrals using Cylindrical Coordinates
44. Problems on Integrals
45. Objective Question on Integrals
46. Vector Functions
47. Vector Line Integral
48. Green's Theorem
49. Gauss Divergence Theorem
50. Stoke Theorem
51. Surface and Volume Integrals
52. Problems on Integrals Theorem
53. Directional Derivative of Vector
54. Vector Gradient
55. Theorem of Line Integral
56. Orthogonal Curvilinear Coordinates
57. Differential Operators
58. Divergence of Vector
59. Curl of Vector
60. Problems on Vector Calculus
61. Introduction of Matrices
62. Properties of Matrices
63. Scalar Multiplication
64. Matrix Multiplication
65. Transpose of Matrix
66. Nonsingular Matrix
67. Echelon Form of Matrix
68. Determinant
69. Properties of Determinants
70. System of Linear Equation
71. Solution to a Linear System
72. Solution to Linear System by Inverse Method
73. Rank and Trace of Matrix
74. Cayley-Hamilton Theorem
75. Eigenvalues and Eigenvector
76. Method of Finding Eigenvalues and Eigenvectors
77. Diagonalisation of Matrices
78. Unitary Matrices
79. Idempotent Matrices
80. Problems on Matrices",0,1,0,0,1,0,1,0,0
"Enki:Learn better code,daily",8/18/2017,29M,"500,000 - 1,000,000 ",varies with device,4.4,install,4.4,10618,"
no",enki.com,"Level up your Javascript, Python, CSS, HTML, git, Linux and Java with Enki. It’s quick and easy to improve your programming skills, whether you’re a professional developer or a complete beginner.

Discover new tips, tricks and best practices. Practice your programming skills, answer questions and play fun coding mini games.

Over 500,000 developers use Enki to fill in knowledge gaps, as well as learn about topics and features which they wouldn’t see otherwise. If you use the app for a few weeks you’ll see the results for yourself.
",1,1,0,0,0,0,0,0,0
"
Drawing Pad
",3/22/2015,276K,"50,000 - 100,000",1.1,2.2,install,3.7,102,no,Mineitech,"This is a drawing app provided by MINEITECH . In this app you can draw image with provided tool i.e. brush tool.
if there will be any mistake happens we have provided an Erase tool to erase some portion of drawing.



Also you can create new drawing canvas as well as save the current drawing as a image.


Please do share your valuable feedback. so that our team takes initiative part to develop better android app.",0,0,0,0,0,1,0,0,0
"Left vs Right
",11/23/2017,28M,5000000-10000000,3.3.0,4.0.3,install,4.5,67423,no,MochiBits,"Exercise your grey matter every day with Left vs Right! Our games are designed to test your Awareness, Adaptability, Reflex, Reasoning, Precision, and Patience.

Left vs Right includes 49 total games that test and train your brain in one or more of the 6 categories.

Left vs Right has Colorblind Mode! Just activate it in the app's settings menu.

VIP:
VIP members can train all 6 training categories each day. All games from those categories are available. You can additionally play and train individual games an unlimited amount of times each day. Only VIP members can also see Category Brain Quotients, Category Percentiles, and your score history for each game.

Regular:
Regular members can start out training 3 out of 6 categories each day for free. Only regular games from those categories will available. Additionally, you can complete the final 3 daily training games (including VIP games) for free after watching a short video. You can also play individual games using tokens. Regular games cost 1 token. VIP games cost 3 tokens. Additional tokens can only be earned by watching a short video.",0,0,0,0,0,0,0,1,0
Electronic Toolkit,1/31/2018,5M,"100,000 - 500,000",2.7,2.3,install,4.6,"2,146",no,Davey Hollenberg,"Electronics Toolkit is a helpful app with dozens of tools, calculators and references made for electronic engineers, students and hobbyists.

Calculators:
• Resistor color codes - calculate the resistance of resistors by selecting the colors of the bands

• SMD resistor codes - calculate the resistance of SMD resistors by entering the number

• LED resistor calculator - calculate the needed resistance to connect en LED to a power source

• Parallel resistors - calculate the resistance of resistors in parallel

• Voltage divider - calculate the output voltage of a voltage divider

• Series resistors - calculate the resistance of resistors in series

• Ohm's law - calculate the voltage, current of resistance by entering the other two

• Capacitance calculator - calculate the capacitance, voltage or charge by entering the other two

• Battery discharge - calculate the time it takes to discharge a battery

• Inductor color codes - calculate the inductance of inductors by selecting the colors of the bands

• Parallel capacitors - calculate the capacitance of capacitors in parallel

• Series capacitors - calculate the capacitance of capacitors in series

• Unit converter - unit converter for length, temperature, area, volume, weight, time, angle, power and base

• Op-amp calculator - calculate the output voltage of non-inverting, inverting, summing and differential opamps

• Wheatstone bridge - calculate the resistance of one resistor in a balanced bridge or calculate the output voltage

• Inductor codes - calculate the inductance of inductors by entering the number

• Capacitor codes - calculate the capacitance of capacitors by entering the number

• DAC and ADC calculator - calculate the output of digital-analog and analog-digital converters

• Wavelength frequency calculator - calculate the frequency or wavelength of a wave

• SI prefixes - convert numbers with SI prefixes

• Capacitor energy - calculate the energy in an capacitor

• Slew rate calculator - calculate the slew rate

• Star delta transformation - calculate the resistors in a star delta transformation

• Zener calculator - calculate the resistance of the resistor and voltage of the zener

• Air core inductor calculator - calculate the inductance and wire length of an air core inductor

• 555 timer calculator - calculate the frequency, period, duty cycle, high time and low time of a popular 555 timer circuit

• Plate capacitor calculator - calculate the capacity of a plate capacitor

• Resistance to color code calculator - calculate the colors on the resistor by entering the resistance

• LM317 - calculate the output voltage of an LM317

• Low pass filters

• Wire resistance - calculate the resistance of electrical wire

• RMS voltage

• Decibel calculator

•Reactance

Tables:
• Logic gates - truth table of the 7 logic gates with interactive buttons

• 7-segment display - interactive display that you can change by clicking on one of the segments or by clicking on a button to show a hexadecimal character

• ASCII - decimal, hexadecimal, binary, octal and char ASCII table

• Resistivity - table with the resistivity of common metals at 293K

• Arduino pinout

• Pinout diagrams of 4000 and 7400 series ICs

Other:
• Bluetooth - connect to a bluetooth module like the HC-05 to talk with an arduino or other microcontroller with the terminal, button and slider modes


PERMISSIONS
• read the contents of your USB storage && modify or delete the contents of your USB storage - used to save images of IC pinout diagrams

• receive data from Internet && view network connections && full network access - used to load the IC data list and to collect statistics with Google Firebase

• pair with Bluetooth devices && access Bluetooth settings - used to connect with bluetooth devices

• prevent device from sleeping - prevents bluetooth devices from disconnecting",0,0,0,0,0,0,1,0,0
Spell And Pronounce Words Right,1/6/2018,2.6M,"10,000 - 50,000 ",3.4,4,install,4.4,303,no,Himansh Studios,"This application is for them who have hard time remembering spellings and don’t know how to pronounce word in English.

The basic concept of this application is to convert voice to text which result in giving you Right spellings, and to pronounce a word in text box which gives you idea about how to pronounce a word.

Most of the times we cannot type a word because we don’t know spelling and if we don’t know spelling then we cannot search about it too and using wrong spelling can be embarrassing specially if working with professional so use this app click Mic button Pronounce a word and you get a spelling copy the Spelling and Paste :-) .

If you don’t know how to pronounce a word properly then you can use this app too type a text in text box and press Speaker button and voila She Speaks.",1,0,0,0,0,0,0,0,0
EveryCircuit,2/7/2018,7.4M,"1,000,000 - 5,000,000 ",varies with device,varies with device,install,4.3,"40,453",no,MuseMaze,"All joking aside, this time you will understand how electronic circuits work.

""I stumbled upon some serious gold"" - GeekBeat.tv
""This app takes design to a whole new level of interactivity"" - Design News

Build any circuit, tap play button, and watch dynamic voltage, current, and charge animations. This gives you insight into circuit operation like no equation does. While simulation is running, adjust circuit parameters with analog knob, and the circuit responds to your actions in real time. You can even generate an arbitrary input signal with your finger!

That's interactivity and innovation you can't find in best SPICE tools for PC like Multisim, LTspice, OrCad or PSpice (trademarks belong to their respective owners).

EveryCircuit is not just an eye candy. Under the hood it packs custom-built simulation engine optimized for interactive mobile use, serious numerical methods, and realistic device models. In short, Ohm's law, Kirchhoff's current and voltage laws, nonlinear semiconductor device equations, and all the good stuff is there.

Growing library of components gives you freedom to design any analog or digital circuit from a simple voltage divider to transistor-level masterpiece.

Schematic editor features automatic wire routing, and minimalistic user interface. No nonsense, less tapping, more productivity.

Simplicity, innovation, and power, combined with mobility, make EveryCircuit a must-have companion for high school science and physics students, electrical engineering college students, breadboard and printed circuit board (PCB) enthusiasts, and ham radio hobbyists.

Create an account to unlock the full functionality for a limited time. The full version will employ all of your imagination, and all the screen area of your tablet. Join EveryCircuit cloud community to store your circuits on cloud, access them from any of your devices, explore public community circuits and share your own designs. The app requires a permission to access your account for authentication in EveryCircuit community.

Thanks to Prof. N. Maghari for technical discussions, feedback, and help with designing circuit examples.

Features:
+ Growing public library of community circuits
+ Animations of voltage waveforms and current flows
+ Animations of capacitor charges
+ Analog control knob adjusts circuit parameters
+ Automatic wire routing
+ Oscilloscope
+ Seamless DC and transient simulation
+ Single play/pause button controls simulation
+ Saving and loading of circuit schematic
+ Mobile simulation engine built from ground-up
+ Shake the phone to kick-start oscillators
+ Intuitive user interface
+ No Ads

Components:
+ Sources, signal generators
+ Controlled sources, VCVS, VCCS, CCVS, CCCS
+ Resistors, capacitors, inductors, transformers
+ Voltmeter, amperemeter, ohmmeter
+ DC motor
+ Potentiometer, lamp
+ Switches, SPST, SPDT
+ Push buttons, NO, NC
+ Diodes, Zener diodes, light emitting diodes (LED)
+ MOS transistors (MOSFET)
+ Bipolar junction transistors (BJT)
+ Ideal operational amplifier (opamp)
+ Digital logic gates, AND, OR, NOT, NAND, NOR, XOR, XNOR
+ Relay
+ 555 timer
+ Counter
+ 7-segment display and decoder",0,0,0,0,0,0,1,0,0
Correct Spelling,5/18/2017,1.6M,"50,000 - 100,000",1,2.2,install,4.1,145,no,LogiTash,"Speak the word or sentence in your mic and see its correct spellings on your screen.
Easy to use application for English language.
Finding the spellings of difficult words or phrases is not a worry know.
No need to carry an English dictionary with you.
Just speak the word and get its spelling.

How to use:
- Touch on the mic symbol and speak your word or sentence.

Features:
- Easy to use
- Easy to learn
- Covers all the English language words.
- No need to memorize difficult words.",1,0,0,0,0,0,0,0,0
NPTEL,12/24/2017,3.5M,"100,000 - 500,000 ",1.1.7,4,install,4.2,777,no,NPTEL,"NPTEL provides E-learning through online Web and Video courses in Engineering, Science and humanities streams. The mission of NPTEL is to enhance the quality of Engineering education in the country by providing free online courseware.

All Engineering Branches

""Electronics & Communication Engineering ""
""Computer Science and Engineering""
Electrical Engineering
""Basic courses(Sem 1 and 2)""
""Aerospace Engineering""
""Civil Engineering""
""Biotechnology""
""Chemical Engineering""
""Chemistry and Biochemistry""
""Mechanical Engineering""
""Electrical Engineering""
""Textile Engineering""
""Physics""
""Automobile Engineering""
""Management""
""Mathematics"",
""Metallurgy and Material Science""
""Mining Engineering""
""Ocean Engineering""
""Atmospheric Science""
""Nanotechnology""
""Engineering Design""
""Humanities and Social Sciences"",
""General""
NPTEL (National Programme on Technology Enhanced Learning) is a joint initiative of the IITs and IISc. Through this initiative, we offer online courses and certification in various topics.
Online course: Free for all, Certification exam: For a nominal fee
Current and upcoming courses are listed below. Click on a course name to see more details about it.
This site uses your Google account for authentication. You will need to log in to register for any course.
After registration you will be able to see the course contents as and when they are made available by the course instructors.",0,1,0,0,0,0,0,0,0
Core Java,12/3/2016,4.2M,"10,000 - 50,000 ",1.1.1,4.2,install,4.5,221,no,Eternal Soft,"• Test your knowledge chapter wise or difficulty wise to suite your requirements.
• Chapters and questions are based on OCAJP exam objectives.
• Get real exam feel in the mock tests.
• Master your skills and excel in the real Exam.
• Using this app will ensure success in the first attempt.

Must have app for:
• Java programmers getting ready for OCAJP certification.
• Software professionals preparing for Java interview.
• New or experienced Java programmers looking to brush up core Java skills.",0,1,0,0,0,0,0,0,0
Kids maths,12/1/2017,7.1M,"5,000,000 - 10,000,000",9.2.1,4.4,install,3.8,"20,529",no,Orkun2u Studios,"Welcome to Best Math For Kids!
This is a good brain test and you can improve your math calculations speed and It is a new educational app that focuses on numbers and math learning. This colorful game presents a collection of math exercises for kids from 6 to 16 years, divided into several categories based on difficulty.
The app includes the following topics: addition, subtraction, multiplication, division, number sorting, counting and comparison. This way, children can exercise various areas and not get bored of doing the same tasks over and over again.
Learn how to calculate number with:
Addition game (Easy, Normal, Hard)
Subtraction game (Easy, Normal, Hard) Multiplication game (Easy, Normal, Hard) Division game (Easy, Normal, Hard)
 Learn how to sort number:
Sort number ascending (Easy, Normal, Hard)
Sort number descending (Easy, Normal, Hard)
Learning how to count the number 1, 2, 3, 4, 5 to hundred and learn how to comparison largest and smallest number!
All in all, Math for Kids stands out for its variety of math exercises that will help children practice their skills while having some fun.Best of all for your child - they are free!",0,0,0,0,1,0,0,1,0
Khan Academy,2/9/2018,16M,"5,000,000 - 10,000,000",2.6.3,4.1,install,4.6,"75,398",yes,Khan Academy,"Khan Academy allows you to learn almost anything for free.

- You can learn anything – for free: Over 10,000 videos and explanations at your fingertips in math, science, economics, history, and much, much more
- Sharpen your skills: over 40,000 interactive Common Core aligned practice questions are included with instant feedback and step-by-step hints. Follow along with what you’re learning in school or practice at your own pace
- Quickly find what you need: Redesigned navigation and search make it faster to find what you want
- Keep learning even when you’re offline: Bookmark your favorite content to “Your List” for easy access, and download it to keep learning even when you’re not connected to the internet.
- Pick up where you left off: Your learning syncs between your Android and khanacademy.org, so your progress is always up-to-date

Learn using videos, interactive exercises, and in-depth articles in math (arithmetic, pre-algebra, algebra, geometry, trigonometry, statistics, calculus, linear algebra), science (biology, chemistry, physics), economics, and even the humanities with playlists on art history, civics, finance, and more.

Spend an afternoon brushing up on statistics. Discover how the Krebs cycle works. Learn about the fundamentals of music notation. Prepare for the upcoming SAT, GMAT, or MCAT. Or, if you’re feeling particularly adventurous, learn how fire stick farming changed the landscape of Australia.

It doesn't matter if you are a student, teacher, home-schooler, principal, adult returning to the classroom after 20 years, or a friendly alien just trying to get a leg up in earthly biology—Khan Academy's materials and resources are available to you completely free of charge.",0,0,1,1,1,0,0,0,0
SandBox-Color by Number Coloring Pages,2/12/2018,9.2M,"10,000,000 - 50,000,000 ",0.2.3 ,varies with device,install,4.7,"194,337",no,Alexey Griigorkin,"The original Sandbox Color By Number application.

Kids and adults love to color by numbers and we've got a bunch for you to choose from.

""Color by number pages are a great way to teach your kids or students basic number recognition, how to use a legend, and it will give them the opportunity to work on their fine motor skills.""

""This is a great activity to practice your drawing skills. It’s also fun for any age to try to finish the drawing.""",0,0,0,0,0,1,0,0,0
Baby Puzzles,1/8/2018,8.3M,"5,000,000 - 10,000,000 ",5.2,4.0.3,install,4.4,"10,073",yes,AppQuiz,"Try out this fun educational learning babies jigsaw game with your little ones. Babies and toddlers will enjoy playing our baby game for a long time. Help the baby learn the animals, numbers, alphabet, fruits, transportation, professions, emotions, colors and musical instruments.
- Keep babies entertained with interactive sound effects
- The game is adapted to be handled easily.
- It's specifically designed as an educational tool interface for babies and up.

・Suitable for right brain exercise, the graphics activate the right brain. Improve the brain´s observation skills, cognitive ability, concentration, memory, creativity and imagination.
・Improve the response speed and the coordination of the brain and the body. Exercise visual ability to observe the dynamic objects.
・Simple and convenient, easy to operate. Suitable for children, the elderly, and their families and friends to play together.
・Improve level of education",0,0,0,0,0,0,0,1,0
"
Encode",12/23/2017,9.82M,"100,000 - 500,000",4,4.4,install,4.7,"3,182",no,Upskew Pty. Ltd,"Learn to code at your own pace, with Encode - your personal coding tutor.

Key features

- Everyone can learn to code, we'll teach you coding right from the start.

- We've made awesome bite-sized lessons that efficiently present coding concepts with real code examples.

- We think the best way to learn to code is by coding. Encode includes plenty of interactive coding challenges that are designed to help you level up your coding skills.

- On your daily commute on a train with no data? Keep learning even when you're offline, thanks to full offline support.

Paths

- Python: Get to know this popular coding language with Encode! Python's used everywhere from data science to servers.

- JavaScript: Our JavaScript path teaches the essentials from running quick calculations in code to using functions. JavaScript is a language used everywhere from websites to servers.

- Web: Ever wanted to start making webpages, but didn't know where to start? Our web path will teach you the essentials of HTML and CSS, the two languages that sit behind every beautiful website. You'll learn by making mini-webpages using real code.",1,1,0,0,0,0,0,0,0
Hello Crayon,7/11/2017,19M,"500,000 - 1,000,000 ",1.8,2.2,install,3.8,"1,435",no,Raysoft.co,"Hello crayon is an easy & fun drawing APP for children. It provides realistic crayons and marker pens.

You can buy more crayon tools and drawing books by in-app-billing shop.

Features
- Realistic look & feel of crayons and marker pens
- Cool drawing sound
- Intuitive user interface
- Free 8 coloring sketches for coloring

Check out our hello drawing series.
- Hello Crayons
- Hello Color pencils
- Hello Chalk

Facebook
http://www.facebook.com/pages/Hello-Crayon/128107603937551

====

This is the notice for updated version of 'Hello' Series and 'Water Color Pencil' app, related to function of 'Image Save to External Storage.'

If you have device with Android JellyBean or previous version, when you save image to exteral storage, image files will be saved to exteral storage folder with App Name and immediately you can show that image on Gallery. (This is the conventional rule of older version of Hello Series and WCP app.)

If you have device with Android KITKAT, when you save image to exteral storage, image files copied on Camera Folder of your external storage. Surely, you can see your image on Gallery. If you got the toast message 'Cannot Save To Camera Folder' when save image, please execute basic 'Camera' app of device and make one or more photo. After that, you can save image to camera folder successfully.",0,0,0,0,0,1,0,0,0
Maths Theory,11/5/2017,3.4M,"100,000 - 500,000",3.0.1,4.1,install,4.5,703,no,Sangakoo,"Sangaku Maths App is an open educational resource that offers the whole theory of mathematics from Secondary to first courses of technical degrees. An own theory, created by an interdisciplinary team, which stands for very didactic explanations and examples.

Over 1000 printed pages of math theory. The contents are organized in 9 essential branches of mathematics: algebra, geometry, recreational mathematics, calculation and analysis, applied mathematics, probability and statistics, fundamentals, discrete mathematics and number theory. Each is divided into subjects, categorized by difficulty, to help you in your learning process.

",0,0,0,0,1,0,0,0,0
EdX,12/21/2017,8.2M,"1,000,000 - 5,000,000",2.12.1 ,4,install,4.5,"24,687",no,edX,"FREE ONLINE COURSES FROM THE WORLD’S BEST UNIVERSITIES AND INSTITUTIONS
Learn from the experts at Harvard University, MIT, UC Berkeley, Tsinghua University, Microsoft, Linux, The Smithsonian and more.
Free courses in computer science, engineering, history, psychology, nutrition, big data, statistics and hundreds more.

COURSES TO LEARN ANYTIME, ANYWHERE.
Live stream or download course videos to watch on the go and test your knowledge on quizzes and exams. With edX, you have the flexibility to learn on your schedule. It is free education, when and where you want it.

LEARN NEW SKILLS. CHANGE YOUR LIFE.
Gain the in-demand skills needed to advance your career and get the job you want. Stay up-to-date on the latest trends and developments in your industry – at your fingertips and for free!

APP FEATURES
• Learn from the best instructors from more than 70 global universities and institutions
• Stream class videos via Wi-Fi or cellular connection
• Download course videos to watch anytime
• Test your knowledge with basic quizzes and exams
• View course announcements and handouts
• Follow along course videos with closed captions
• Education and tutorials on your schedule

COURSES IN SUBJECTS LIKE:
• Big Data
• Biology
• Business and Management
• Calculus
• Chemistry
• Computer Science
• Cybersecurity
• English Composition and Language
• English Grammar
• Entrepreneurship & Leadership
• High School Math
• Innovation
• Leadership Training
• Mandarin
• Programming (Python, Linux, Java, C+, Scratch)
• Preparation for AP Exams
• Robotics
• Statistics",0,1,1,0,0,0,1,0,0
English Listening and Speaking,2/2/2018,8.9M,"1,000,000 - 5,000,000",7.17,4,install,4.3,"
20,477 ",no,Miracle FunBox,"This helpful app will help you listen to English and speak English more fluently. There are many lessons divided into many levels from elementary to intermediate and advanced. You can choose one of two audio modes: Online Streaming and Offline to learn English. This app also includes the list of necessary idioms and phrases used in daily talk.
Main Features:
- Thousands of English conversations and stories with audios and completed transcripts;
- Common idioms and phrasal verbs in daily conversations;
- Vocabulary learning and test for many topics including: most commonly used words, IELTS Academic, TOEIC, TOEFL, Kid words;
- Essay for IELTS;
- Irregular verbs table with audio supported;
- English Pronunciation;
- Names and surnames pronunciation;
- Recognize and evaluate your pronunciation;
- Hundreds of listening tests that improve both your listening and vocabulary abilities;
- Sentence Building Game
- Vocabulary Building Game
- Word Chain Game
- Listen to lessons online/offline;
- Bookmark lessons.",1,0,0,0,0,0,0,0,0
